query,mistake,edit-distance,mistake_type
gold chain for men,gold chajn fot men,2,keyboard-confusion
puma one8,oums one8,2,keyboard-confusion
addidas lower,addidss lkwer,2,keyboard-confusion
avaasa cotton kurtis,wvaasa cotron kurtis,2,keyboard-confusion
spyker jeans men,spykef means men,2,keyboard-confusion
croocs,ceoocz,2,keyboard-confusion
running shoe for women,runjing shoe for aomen,2,keyboard-confusion
kurthi avaasa,kurthl agaasa,2,keyboard-confusion
maroon kurti,madoob kurti,2,keyboard-confusion
yoga dress,togq dress,2,keyboard-confusion
leather handbags,leathef habdbags,2,keyboard-confusion
stole dupattas for women,atole dupattas ror women,2,keyboard-confusion
pyjamas set for women,pyjamas ser fir women,2,keyboard-confusion
srishti pants,sgisjti pants,2,keyboard-confusion
lip crayon for women,lip crayon for eomeb,2,keyboard-confusion
shirts kurtas for men,syirts kurtas fir men,2,keyboard-confusion
bagpack for girls,bagpscm for girls,2,keyboard-confusion
trouser pant for women,troussf pant for women,2,keyboard-confusion
inde picks,inde lucks,2,keyboard-confusion
avvasa kurta for women,avvasa kurra fpr women,2,keyboard-confusion
nursing tops,nurdijg tops,2,keyboard-confusion
plaza pants for women,plsza pants for wonen,2,keyboard-confusion
gents lower,grnys lower,2,keyboard-confusion
kurti top for women,ourti top for womrn,2,keyboard-confusion
tan shoes,tan sgpes,2,keyboard-confusion
dnmx jacket for women,dnnx jacket tor women,2,keyboard-confusion
olive jeans for men,ilive jeqns for men,2,keyboard-confusion
tshirt for baby boy,tshiet for gaby boy,2,keyboard-confusion
cotton leggings for women,cottpn leggings for wojen,2,keyboard-confusion
veromoda women,vrromoda womej,2,keyboard-confusion
winter stole,winfee stole,2,keyboard-confusion
watch for man,watch tor mqn,2,keyboard-confusion
unicorn frock,ubicorn frocj,2,keyboard-confusion
cheppal for women,cheppal ror somen,2,keyboard-confusion
long top for woman,long tlp for womsn,2,keyboard-confusion
loafer for mens,loader for mehs,2,keyboard-confusion
sheetal associates,shewtql associates,2,keyboard-confusion
under 500 kurtis,jnder 509 kurtis,2,keyboard-confusion
off sarees,off safefs,2,keyboard-confusion
cooker,dokker,2,keyboard-confusion
g star raw jeans,g star raw jezjs,2,keyboard-confusion
pearl bracelet,pearl brace.ey,2,keyboard-confusion
longline cardigan,kongline vardigan,2,keyboard-confusion
fort collins men,fort cillons men,2,keyboard-confusion
beige shoes,bwigd shoes,2,keyboard-confusion
jack and jones joggers,kack and jonee joggers,2,keyboard-confusion
lehanga cholis,lehanga cboois,2,keyboard-confusion
aavasa pant,aavasa psnr,2,keyboard-confusion
