MistakeQueries,CorrectedQueries,EditDistance
brogues fo men,brogues for men,1
pink sare,pink sarees,1
sof throw,sofa throw,1
superdry short,superdry shorts,1
women kurta unde 500,women kurta under 500,1
ht for men,hat for men,1
sport leggins,sport leggings,1
allen solly shirts fo men,allen solly shirts for men,1
aavasa mix n match kura,aavasa mix n match kurta,1
graphic print t-shit,graphic print t-shirt,1
running sneakers fo men,running sneakers for men,1
flavido kurtas fo women,flavido kurtas for women,1
earrings st,earrings set,1
ga shirts for women,gap shirts for women,1
being human t-shirt,being human t-shirts,1
ladies chappa,ladies chappal,1
men cotton jans,men cotton jeans,1
boys innerwea sets,boys innerwear sets,1
a-line kurti,a-line kurti,1
kids shirts fo boys,kids shirts for boys,1
kurt dress,kurti dress,1
v neck t-shirts fo women,v neck t-shirts for women,1
jorda,jordan,1
women night short,women night shorts,1
gy pants women,gym pants women,1
women kurtis unde 300,women kurtis under 300,1
bok,book,1
kurta palazo sets,kurta palazzo sets,1
us polo jakets men,us polo jackets men,1
gy men,gym men,1
altheory shoes fo men,altheory shoes for men,1
asics men's sports shos,asics men's sports shoes,1
ethnnic sarees,ethnic sarees,1
dhun kurtis,dhuni kurtis,1
coach handbas,coach handbags,1
plan shirts,plain shirts,1
kids t-shirt fo girls,kids t-shirt for girls,1
black pants womn,black pants women,1
flat sandas women,flat sandals women,1
sneak a peek hells,sneak a peek heels,1
paola jewels fo women,paola jewels for women,1
sweaters fo womens,sweaters for women,1
underwear fo kids,underwear for kids,1
tp kids,top kids,1
white t-shirts wmen,white t-shirts women,1
party wear krtas,party wear kurtas,1
red tape shoes fo men,red tape shoes for men,1
htps,https,1
lng one piece,long one piece,1
men's sleeveles jacket,men's sleeveless jacket,1
aspor for women,aspora for women,1
fashin saree,fashion saree,1
under jeans fo men,under jeans for men,1
reebok men's sports shos,reebok men's sports shoes,1
afsaa,afsana,1
polo collar t-shir,polo collar t-shirt,1
puffer jacket fo boys,puffer jacket for boys,1
jackt boy,jacket boy,1
shirs under 400,shirts under 400,1
party wear tops fo womem,party wear tops for women,1
mother feedin dress,mother feeding dress,1
oversized t-shirt mens,oversized t-shirt men's,1
t-shits,t-shirts,1
formal shoes fr boys,formal shoes for boys,1
flt slippers,flat slippers,1
shirt kurtas fo women,shirt kurtas for women,1
febinda,febindia,1
resor shirt,resort shirt,1
tp fig,top fig,1
viscose tops fo women,viscose tops for women,1
brown pans for women,brown pants for women,1
blue kurta set fo women,blue kurta set for women,1
baby boy sets,baby boy sets,1
loafes shoes,loafers shoes,1
kb team spirit,kb team spirit,1
pink dresse,pink dresses,1
hr sho,hrx shoes,1
new model sare,new model sarees,1
woolen leggins,woolen leggings,1
ruffld top,ruffled top,1
high star jeans fo men,high star jeans for men,1
tops fo women,tops for women,1
shirts kids,shirts kids,1
loafers mn,loafers men,1
sports shoes fo girls,sports shoes for girls,1
adidas trackpnts,adidas trackpants,1
black kurtas,black kurtas,1
turtle neck sweates,turtle neck sweaters,1
sleeveles dress women,sleeveless dress women,1
red tape shoes,red tape shoes,1
bata chappas,bata chappals,1
kurtas belw 400,kurtas below 400,1
black suit sets fo men,black suit sets for men,1
levi's hoddie,levi's hoodie,1
knee length krta,knee length kurta,1
whit purse,white purse,1
men's ful t-shirt,men's full t-shirt,1
black jumpsit,black jumpsuit,1
adidas shoes fo women,adidas shoes for women,1
highlander jeans fo men,highlander jeans for men,1
deodorants body sprYs,deodorants body sprays,1
top wit skirt,top with skirt,1
shos for men,shoes for men,1
oxidized jewelr,oxidized jewelry,1
mulmu saree,mulmul saree,1
gift sets fo infants,gift sets for infants,1
uspa shoe,uspa shoes,1
killer men's t-shirs,killer men's t-shirts,1
casual trouser,casual trousers,1
kurtis fo women,kurtis for women,1
adidas tracksut,adidas tracksuit,1
king size bedshet,king size bedsheet,1
kids jeans fo boys,kids jeans for boys,1
brida lehenga,bridal lehenga,1
peple for men,people for men,1
rubbr band,rubber band,1
paithan saree,paithani saree,1
netplay shirts fr men,netplay shirts for men,1
kurta wit dupatta,kurta with dupatta,1
vero moda wome,vero moda women,1
outryt jeans fo women,outryt jeans for women,1
pepe jeans t-shir,pepe jeans t-shirt,1
loafers wome,loafers women,1
ruggers fo men,ruggers for men,1
spykr,spykar,1

